id,nombre,descripcion,fechaCreacion,privacidad,creador_id
1,"Schowalter, Waelchi and Lynch",suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem,2025-03-02,congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam,1
2,Bosco Inc,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros,2025-01-28,sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis,2
3,Sawayn Group,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit,2024-09-04,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci,3
4,Reichel Group,ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,2024-08-30,at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel,4
5,Nikolaus-McLaughlin,lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales,2024-09-13,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante,5
6,Rosenbaum-Greenfelder,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin,2024-05-06,lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque,6
7,Kulas Inc,in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit,2024-03-08,sit amet lobortis sapien sapien non mi integer ac neque,7
8,"Grimes, Halvorson and Rowe",purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede,2024-04-04,vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis,8
9,Sauer Group,at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus,2024-12-27,in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis,9
10,"Legros, Kris and Purdy",duis at velit eu est congue elementum in hac habitasse platea,2024-09-12,ac est lacinia nisi venenatis tristique fusce congue diam id,10
11,Schumm Group,in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque,2025-01-03,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus,11
12,Schultz-Quitzon,interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est,2024-03-30,sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi,12
13,Conn-Stanton,in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo,2024-07-03,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,13
14,McKenzie Inc,consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus,2024-07-15,ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel,14
15,"Brekke, Nikolaus and Kilback",magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis,2024-03-11,elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus,15
16,Botsford LLC,mauris sit amet eros suspendisse accumsan tortor quis turpis sed,2024-08-05,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero,16
17,Schmitt LLC,cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a,2024-03-23,in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum,17
18,Nader Inc,ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis,2024-09-18,libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu,18
