:START_ID,:END_ID
3,1
4,1
5,1
6,1
7,1
8,2
9,2
10,2
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,4
19,4
20,4
21,4
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
1,6
2,6
3,6
4,7
5,7
6,7
7,7
8,7
9,7
10,8
11,8
12,8
13,8
14,8
15,9
16,9
17,10
18,10
19,10
20,10
21,10
22,10
23,10
24,10
25,11
26,11
27,11
28,11
1,12
2,12
3,12
4,12
5,12
6,12
7,13
8,13
9,13
10,13
11,13
12,14
13,14
14,14
15,14
16,14
17,14
18,14
19,15
20,15
21,15
22,15
23,16
24,16
25,16
26,17
27,17
28,18
29,18
30,18
1,18
2,18
3,19
4,19
5,19
6,19
7,20
8,20
9,20
10,20
11,20
12,20
13,20
14,20
15,20
16,20
17,21
18,21
19,21
20,21
21,21
22,21
23,22
24,22
25,22
26,22
27,22
28,22
29,22
30,22
1,23
2,23
3,23
4,23
5,23
6,23
7,23
8,24
9,24
10,24
11,24
12,25
13,25
14,25
15,26
16,26
17,26
18,26
19,26
20,26
21,26
22,26
23,26
24,27
25,27
26,27
27,27
28,27
29,27
30,27
1,28
2,28
3,28
4,28
5,28
6,28
7,28
8,28
9,28
10,28
11,28
12,28
13,29
14,29
15,29
16,29
17,29
18,29
19,29
20,29
21,29
22,30
23,30
24,30
25,30
26,30
27,30
