:START_ID,:END_ID
2,1
3,1
4,1
5,1
6,1
1,2
3,2
4,2
7,3
8,3
9,3
10,3
11,3
12,4
13,4
14,4
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,6
23,6
24,6
25,6
26,7
27,7
28,7
29,7
30,7
31,8
32,8
33,8
34,9
35,9
36,9
37,9
38,10
39,10
40,10
1,10
2,10
3,10
4,11
5,11
6,11
7,11
8,11
9,12
10,12
11,12
12,13
13,13
14,13
15,13
16,13
17,14
18,14
19,14
20,14
21,14
22,14
23,14
24,14
25,15
26,15
27,15
28,15
29,15
30,16
31,16
32,16
33,16
34,16
35,16
36,17
37,17
38,17
39,17
1,18
2,18
3,18
4,18
5,19
6,19
7,19
8,19
9,19
10,19
11,20
12,20
13,20
14,20
15,20
16,20
17,20
18,20
19,20
20,20
