:START_ID,:END_ID
1,2
1,3
1,4
2,1
2,5
2,6
3,1
3,7
3,8
4,2
4,9
4,10
5,1
5,3
5,11
6,2
6,12
6,13
7,3
7,14
7,15
8,4
8,16
8,17
9,5
9,18
9,19
10,6
10,20
10,21
11,7
11,22
11,23
12,8
12,24
12,25
13,9
13,26
13,27
14,10
14,28
14,29
15,11
15,30
15,31
16,12
16,32
16,33
17,13
17,34
17,35
18,14
18,36
18,37
19,15
19,38
19,39
20,16
20,40
20,1
21,17
21,2
21,3
22,18
22,4
22,5
23,19
23,6
23,7
24,20
24,8
24,9
25,21
25,10
25,11
26,22
26,12
26,13
27,23
27,14
27,15
28,24
28,16
28,17
29,25
29,18
29,19
30,26
30,20
30,21
