:START_ID,:END_ID
1,programacion
1,tecnologia
2,cocina
2,recetas
3,viajes
3,naturaleza
4,libros
5,fotografia
5,arte
6,programacion
6,tecnologia
7,yoga
7,salud
8,educacion
8,medicina
9,programacion
9,tecnologia
10,arte
10,digital
11,viajes
11,fotografia
12,historia
12,educacion
13,ciencia
13,naturaleza
14,musica
15,psicologia
15,salud
16,deporte
16,fitness
17,arquitectura
17,diseño
18,derecho
19,periodismo
19,arte
20,cocina
20,recetas
21,salud
22,negocios
23,diseño
23,arte
24,ingenieria
25,educacion
25,idiomas
26,fotografia
26,naturaleza
27,salud
27,fitness
28,programacion
28,videojuegos
29,educacion
29,ciencia
30,deporte
30,fitness
